ASN,Prefix,Max prefix length
AS37519,2c0f:f668::/32,32
AS328391,102.130.236.0/22,24
AS328391,2c0f:ec18::/32,48
AS37722,2c0f:ec30::/32,32
AS328317,102.141.224.0/22,24
AS328317,2c0f:eed8::/32,32
AS328037,2c0f:f0c8::/32,128
AS22690,41.242.140.0/22,24
AS328285,102.164.64.0/20,24
AS328285,2c0f:ee88::/32,54
AS37308,41.78.208.0/24,24
AS37308,41.78.209.0/24,24
AS37308,41.78.210.0/24,24
AS37308,41.78.211.0/24,24
AS37308,197.234.32.0/24,24
AS37308,197.234.33.0/24,24
AS37308,197.234.34.0/24,24
AS37308,197.234.35.0/24,24
AS37308,197.234.36.0/24,24
AS37308,197.234.37.0/24,24
AS37308,197.234.38.0/24,24
AS37308,197.234.39.0/24,24
AS37308,197.234.48.0/24,24
AS37308,197.234.49.0/24,24
AS37308,197.234.50.0/24,24
AS37308,197.234.51.0/24,24
AS37308,197.234.52.0/24,24
AS37308,197.234.57.0/24,24
AS37308,197.234.58.0/24,24
AS37308,197.242.240.0/24,24
AS37308,197.242.241.0/24,24
AS37308,197.242.242.0/24,24
AS37308,197.242.243.0/24,24
AS37308,197.242.244.0/24,24
AS37308,197.242.245.0/24,24
AS37308,197.242.250.0/24,24
AS37308,197.242.251.0/24,24
AS37308,197.242.252.0/24,24
AS37308,2c0f:f3a8::/32,40
AS37308,2c0f:f3a8::/40,40
AS328114,102.134.192.0/18,24
AS328114,2c0f:edd8::/32,64
AS37640,154.66.88.0/21,24
AS37640,2c0f:f470::/32,48
AS37640,154.66.88.0/21,21
AS715,196.251.252.0/22,24
AS37340,197.255.160.0/23,23
AS37340,197.255.162.0/23,23
AS37340,197.255.164.0/23,23
AS37340,197.255.166.0/23,23
AS37340,197.255.168.0/23,23
AS37340,197.255.170.0/23,23
AS37340,197.255.172.0/23,23
AS37340,197.255.174.0/23,23
AS37340,41.217.0.0/23,23
AS37340,41.217.2.0/23,23
AS37340,41.217.4.0/23,23
AS37340,41.217.6.0/23,23
AS37340,41.217.8.0/23,23
AS37340,41.217.10.0/23,23
AS37340,41.217.12.0/23,23
AS37340,41.217.14.0/23,23
AS37340,41.217.16.0/23,23
AS37340,41.217.18.0/23,23
AS37340,41.217.20.0/23,23
AS37340,41.217.22.0/23,23
AS37340,41.217.24.0/23,23
AS37340,41.217.26.0/23,23
AS37340,41.217.28.0/23,23
AS37340,41.217.30.0/23,23
AS37340,41.217.32.0/23,23
AS37340,41.217.34.0/23,23
AS37340,41.217.36.0/23,23
AS37340,41.217.38.0/23,23
AS37340,41.217.40.0/23,23
AS37340,41.217.42.0/23,23
AS37340,41.217.44.0/23,23
AS37340,41.217.46.0/23,23
AS37340,41.217.48.0/23,23
AS37340,41.217.50.0/23,23
AS37340,41.217.52.0/23,23
AS37340,41.217.54.0/23,23
AS37340,41.217.56.0/23,23
AS37340,41.217.58.0/23,23
